ID,altitude_in_m,min_max,time,time_decimals,time_peak
131525,572.0,max,01:00,1.0,0.7
365543,482.0,max,03:15,3.2,2.1
130829,1519.0,max,06:00,6.0,4.0
279728,1576.0,max,01:30,1.5,1.0
242439,2260.0,max,00:55,0.9,0.6
335764,1389.0,max,02:00,2.0,1.3
131482,1840.0,max,04:15,4.2,2.8
130850,1167.0,max,05:30,5.5,3.7
185331,512.0,max,02:45,2.8,1.9
238939,625.0,max,03:30,3.5,2.3
156743,989.0,max,04:50,4.8,3.2
700211,980.0,max,04:05,4.1,2.7
274524,1999.0,max,03:30,3.5,2.3
171155,618.0,max,03:45,3.8,2.5
274499,2345.0,max,05:13,5.2,3.5
340852,452.0,max,01:30,1.5,1.0
272140,486.0,max,04:03,4.0,2.7
370267,1359.0,max,03:30,3.5,2.3
131454,1983.0,max,05:15,5.2,3.5
79456,1513.0,max,05:30,5.5,3.7
208215,544.0,max,03:03,3.0,2.0
200549,2223.0,max,08:17,8.3,5.5
336226,1905.0,max,05:30,5.5,3.7
80629,600.0,max,02:50,2.8,1.9
136793,1328.0,max,03:30,3.5,2.3
953446,866.0,max,06:05,6.1,4.1
278519,448.0,max,01:36,1.6,1.1
211522,1700.0,max,03:19,3.3,2.2
477513,1450.0,max,02:24,2.4,1.6
130033,966.0,max,02:30,2.5,1.7
136884,937.0,max,04:30,4.5,3.0
995262,1288.0,max,03:00,3.0,2.0
130786,990.0,max,06:00,6.0,4.0
131504,1450.0,max,00:30,0.5,0.3
718635,1045.0,max,01:50,1.8,1.2
11659,1663.0,max,02:30,2.5,1.7
777836,995.0,max,03:40,3.7,2.5
131392,2012.0,max,02:00,2.0,1.3
156885,1089.0,max,10:26,10.4,6.9
556802,1062.0,max,01:42,1.7,1.1
101921,622.0,max,05:00,5.0,3.3
130756,605.0,max,01:45,1.8,1.2
174714,2113.0,max,06:18,6.3,4.2
246812,404.0,max,01:25,1.4,0.9
130595,631.0,max,05:00,5.0,3.3
130055,2205.0,max,06:30,6.5,4.3
458379,546.0,max,02:49,2.8,1.9
130799,2502.0,max,06:00,6.0,4.0
130554,675.0,max,07:00,7.0,4.7
207198,695.0,max,06:14,6.2,4.1
242407,1407.0,max,02:44,2.7,1.8
130687,474.0,max,02:30,2.5,1.7
336243,3025.0,max,06:00,6.0,4.0
613207,1437.0,max,09:25,9.4,6.3
130732,530.0,max,02:45,2.8,1.9
207196,1110.0,max,03:00,3.0,2.0
175671,1861.0,max,05:15,5.2,3.5
130780,768.0,max,04:00,4.0,2.7
232749,755.0,max,01:01,1.0,0.7
130036,863.0,max,03:00,3.0,2.0
495387,2839.0,max,02:33,2.6,1.7
174684,1497.0,max,01:58,2.0,1.3
190737,601.0,max,05:30,5.5,3.7
81926,2594.0,max,00:01,0.0,0.0
107984,562.0,max,03:30,3.5,2.3
340858,403.0,max,01:00,1.0,0.7
1038358,1071.0,max,04:10,4.2,2.8
173890,614.0,max,04:30,4.5,3.0
247308,409.0,max,03:55,3.9,2.6
131414,1358.0,max,06:24,6.4,4.3
131561,521.0,max,01:40,1.7,1.1
286187,2388.0,max,05:42,5.7,3.8
953447,671.0,max,05:35,5.6,3.7
130690,508.0,max,02:15,2.2,1.5
229130,491.0,max,01:00,1.0,0.7
156746,947.0,max,05:00,5.0,3.3
551102,808.0,max,02:45,2.8,1.9
270381,1358.0,max,04:20,4.3,2.9
130766,675.0,max,02:00,2.0,1.3
725959,1817.0,max,07:30,7.5,5.0
131436,720.0,max,06:30,6.5,4.3
995268,1589.0,max,02:30,2.5,1.7
212806,1520.0,max,02:20,2.3,1.5
309499,560.0,max,04:19,4.3,2.9
316225,1938.0,max,00:20,0.3,0.2
279535,1435.0,max,02:40,2.7,1.8
131523,827.0,max,03:16,3.3,2.2
129685,1107.0,max,01:30,1.5,1.0
795201,1506.0,max,06:00,6.0,4.0
130066,1265.0,max,04:30,4.5,3.0
920851,1181.0,max,01:05,1.1,0.7
130752,674.0,max,00:45,0.8,0.5
238938,505.0,max,03:00,3.0,2.0
174260,564.0,max,01:30,1.5,1.0
131575,1027.0,max,00:44,0.7,0.5
251372,646.0,max,03:00,3.0,2.0
130808,795.0,max,04:00,4.0,2.7
939951,1432.0,max,01:00,1.0,0.7
130798,1789.0,max,06:00,6.0,4.0
238977,910.0,max,03:45,3.8,2.5
733492,1521.0,max,06:00,6.0,4.0
563610,1240.0,max,05:14,5.2,3.5
71211,1720.0,max,04:00,4.0,2.7
216671,820.0,max,02:20,2.3,1.5
130056,895.0,max,03:00,3.0,2.0
603133,1211.0,max,02:44,2.7,1.8
812628,1924.0,max,05:30,5.5,3.7
129683,1194.0,max,03:00,3.0,2.0
131400,1220.0,max,02:00,2.0,1.3
130788,1166.0,max,05:00,5.0,3.3
130835,635.0,max,06:30,6.5,4.3
129682,464.0,max,03:00,3.0,2.0
131548,2419.0,max,07:00,7.0,4.7
270369,562.0,max,02:00,2.0,1.3
713162,2460.0,max,06:05,6.1,4.1
136908,641.0,max,05:00,5.0,3.3
340854,502.0,max,04:00,4.0,2.7
335718,1470.0,max,03:48,3.8,2.5
130684,560.0,max,02:00,2.0,1.3
242441,1346.0,max,03:00,3.0,2.0
619523,1400.0,max,03:50,3.8,2.5
190499,455.0,max,00:38,0.6,0.4
130040,1045.0,max,04:00,4.0,2.7
551075,2243.0,max,02:15,2.2,1.5
995232,2287.0,max,02:50,2.8,1.9
338388,787.0,max,01:14,1.2,0.8
250443,694.0,max,03:00,3.0,2.0
953445,899.0,max,05:45,5.8,3.9
603138,1645.0,max,02:21,2.4,1.6
212753,1133.0,max,02:50,2.8,1.9
907676,1171.0,max,03:30,3.5,2.3
408837,501.0,max,03:15,3.2,2.1
131478,1742.0,max,02:30,2.5,1.7
67411,2485.0,max,12:35,12.6,8.4
130714,462.0,max,01:45,1.8,1.2
130052,1630.0,max,04:45,4.8,3.2
1002439,598.0,max,08:35,8.6,5.7
978204,1574.0,max,00:05,0.1,0.1
1038377,713.0,max,03:40,3.7,2.5
110875,876.0,max,03:00,3.0,2.0
595623,881.0,max,01:43,1.7,1.1
894820,1122.0,max,03:00,3.0,2.0
269628,1418.0,max,00:34,0.6,0.4
244022,2260.0,max,03:00,3.0,2.0
129160,1985.0,max,05:30,5.5,3.7
131532,1627.0,max,03:35,3.6,2.4
907672,820.0,max,02:00,2.0,1.3
1017146,1675.0,max,05:07,5.1,3.4
219497,1482.0,max,04:00,4.0,2.7
130836,873.0,max,03:30,3.5,2.3
943083,1625.0,max,01:00,1.0,0.7
130781,622.0,max,03:45,3.8,2.5
238946,633.0,max,03:00,3.0,2.0
131574,1785.0,max,04:40,4.7,3.1
894831,1084.0,max,03:40,3.7,2.5
935554,2224.0,max,01:45,1.8,1.2
338391,796.0,max,01:04,1.1,0.7
131398,1039.0,max,03:30,3.5,2.3
72190,494.0,max,11:02,11.0,7.3
953444,989.0,max,07:25,7.4,4.9
447791,500.0,max,04:00,4.0,2.7
286208,2243.0,max,07:51,7.8,5.2
215078,718.0,max,13:30,13.5,9.0
834947,725.0,max,02:20,2.3,1.5
336251,2231.0,max,08:30,8.5,5.7
157760,677.0,max,09:00,9.0,6.0
165242,890.0,max,06:30,6.5,4.3
171425,685.0,max,05:20,5.3,3.5
171426,893.0,max,03:55,3.9,2.6
1040645,1059.0,max,03:10,3.2,2.1
130038,1122.0,max,03:00,3.0,2.0
131511,533.0,max,01:00,1.0,0.7
286210,951.0,max,01:59,2.0,1.3
798114,722.0,max,00:45,0.8,0.5
78599,1284.0,max,03:06,3.1,2.1
130049,1781.0,max,04:30,4.5,3.0
63720,1903.0,max,02:21,2.4,1.6
307033,1664.0,max,03:23,3.4,2.3
279721,2018.0,max,00:45,0.8,0.5
322390,957.0,max,05:34,5.6,3.7
131453,984.0,max,05:00,5.0,3.3
130042,1428.0,max,03:00,3.0,2.0
292875,490.0,max,02:02,2.0,1.3
494772,1590.0,max,05:11,5.2,3.5
297000,1632.0,max,06:00,6.0,4.0
130810,557.0,max,05:00,5.0,3.3
129686,967.0,max,01:30,1.5,1.0
504692,2223.0,max,07:49,7.8,5.2
551076,1850.0,max,00:50,0.8,0.5
131496,687.0,max,02:58,3.0,2.0
316223,1575.0,max,00:12,0.2,0.1
559474,935.0,max,01:20,1.3,0.9
130031,844.0,max,02:00,2.0,1.3
286189,1857.0,max,04:43,4.7,3.1
318776,506.0,max,16:30,16.5,11.0
131410,1506.0,max,03:37,3.6,2.4
563611,1211.0,max,02:46,2.8,1.9
946912,1057.0,max,01:30,1.5,1.0
130828,964.0,max,05:45,5.8,3.9
131595,1629.0,max,01:00,1.0,0.7
251424,1912.0,max,05:00,5.0,3.3
136865,1313.0,max,06:00,6.0,4.0
174757,2116.0,max,04:00,4.0,2.7
131477,706.0,max,05:00,5.0,3.3
203866,1020.0,max,01:15,1.2,0.8
131592,454.0,max,01:08,1.1,0.7
130692,521.0,max,02:45,2.8,1.9
124337,440.0,max,02:06,2.1,1.4
130793,1946.0,max,06:00,6.0,4.0
130767,1292.0,max,04:00,4.0,2.7
551082,2012.0,max,02:36,2.6,1.7
130060,1420.0,max,05:00,5.0,3.3
321345,1827.0,max,06:25,6.4,4.3
269624,1470.0,max,01:48,1.8,1.2
340210,844.0,max,03:54,3.9,2.6
338386,679.0,max,01:11,1.2,0.8
130515,734.0,max,02:00,2.0,1.3
131581,2274.0,max,01:00,1.0,0.7
131520,2454.0,max,04:00,4.0,2.7
255944,1942.0,max,05:05,5.1,3.4
131549,2419.0,max,07:00,7.0,4.7
216669,1123.0,max,03:20,3.3,2.2
